"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"12149","acta histochemica et cytochemica",NA,0,NA,NA,0.396,22,0.879,0.00062,NA,1.57798185077629,NA,"Tier III","Tier III"
"12150","acta scientiarum mathematicarum",NA,0,NA,NA,0.396,9,NA,NA,NA,-1.48851785443318,NA,"Tier III","Tier III"
"12151","ship technology research",NA,0,NA,NA,0.396,11,NA,NA,NA,-1.38511814015038,NA,"Tier III","Tier III"
"12152","ieee transactions on applied superconductivity",NA,0,NA,NA,0.395,66,1.583,0.01189,NA,2.40870874638952,NA,"Tier II","Tier II"
"12153","materials today communications",NA,0,NA,NA,0.395,6,NA,NA,NA,-1.61476589505537,NA,"Tier III","Tier III"
"12154","rehabilitation counseling bulletin",NA,0,NA,NA,0.395,32,0.744,0.00035,NA,1.20830252446441,NA,"Tier III","Tier III"
"12155","nase more",NA,0,NA,NA,0.395,7,NA,NA,NA,-1.57309307415062,NA,"Tier III","Tier III"
"12156","journal of the international academy of periodontology",NA,0,NA,NA,0.395,25,NA,NA,NA,0.458929707259364,NA,"Tier III","Tier III"
"12157","proceedings of the 2nd international workshop on issues of sentiment discovery and opinion mining, wisdom 2013  held in conjunction with sigkdd 2013",NA,0,NA,NA,0.395,6,NA,NA,NA,-1.61476589505537,NA,"Tier III","Tier III"
"12158","communication reports",NA,0,NA,NA,0.395,14,NA,NA,NA,-1.1167018366926,NA,"Tier III","Tier III"
"12159","international journal of doctoral studies",NA,0,NA,NA,0.395,11,NA,NA,NA,-1.38689819104259,NA,"Tier III","Tier III"
"12160","research in transportation business and management",NA,0,NA,NA,0.395,12,NA,NA,1,-1.36995228865554,NA,"Tier III","Tier III"
"12161","latin american journal of aquatic research",NA,0,NA,NA,0.395,19,0.594,0.00139,NA,1.1197348557046,NA,"Tier III","Tier III"
"12162","celebrity studies",NA,0,NA,NA,0.395,13,NA,NA,NA,-1.00568980807548,NA,"Tier III","Tier III"
"12163","studies of transition states and societies",NA,0,NA,NA,0.395,7,NA,NA,NA,-1.5547108185552,NA,"Tier III","Tier III"
"12164","journal of nematology",NA,0,NA,NA,0.395,45,1.087,0.00104,NA,1.99363591718293,NA,"Tier II","Tier II"
"12165","inzynieria chemiczna i procesowa",NA,0,NA,NA,0.395,13,NA,NA,NA,-1.31219611104153,NA,"Tier III","Tier III"
"12166","collectanea botanica",NA,0,NA,NA,0.395,3,NA,NA,NA,-1.63105456059589,NA,"Tier III","Tier III"
"12167","preparative biochemistry and biotechnology",NA,0,NA,NA,0.395,21,1.361,0.00084,NA,1.08579629486592,NA,"Tier III","Tier III"
"12168","preventive nutrition and food science",NA,0,NA,NA,0.395,12,NA,NA,NA,-1.37186681903087,NA,"Tier III","Tier III"
"12169","emnlp 2013  2013 conference on empirical methods in natural language processing, proceedings of the conference",NA,0,NA,NA,0.395,19,NA,NA,NA,-0.848239871921481,NA,"Tier III","Tier III"
"12170","swedish dental journal",NA,0,NA,NA,0.395,29,0.581,0.00045,NA,1.32180415678395,NA,"Tier III","Tier III"
"12171","medical letter on drugs and therapeutics",NA,0,NA,NA,0.395,17,0.785,0.00115,NA,1.2131694928492,NA,"Tier III","Tier III"
"12172","nongye jixie xuebao/transactions of the chinese society of agricultural machinery",NA,0,NA,NA,0.394,28,NA,NA,NA,1.24761227912442,NA,"Tier III","Tier III"
"12173","proceedings  2014 ieee 22nd annual symposium on highperformance interconnects, hoti 2014",NA,0,NA,NA,0.394,4,NA,NA,NA,-1.49780762609791,NA,"Tier III","Tier III"
"12174","interpretation",NA,0,NA,NA,0.394,9,NA,NA,NA,-1.49070854638204,NA,"Tier III","Tier III"
"12175","journal of laser micro nanoengineering",NA,0,NA,NA,0.394,16,0.763,0.00073,NA,1.37227001701386,NA,"Tier III","Tier III"
"12176","water science and technology",NA,0,NA,NA,0.394,111,1.197,0.01287,NA,2.51662660282871,NA,"Tier II","Tier II"
"12177","revista latinoamericano de enfermagem",NA,0,NA,NA,0.394,28,NA,NA,NA,1.23551091060568,NA,"Tier III","Tier III"
"12178","journal of food biochemistry",NA,0,NA,NA,0.394,35,1,0.00132,NA,1.78732609499042,NA,"Tier II","Tier II"
"12179","indian journal of agronomy",NA,0,NA,NA,0.394,17,NA,NA,NA,-1.16560278591046,NA,"Tier III","Tier III"
"12180","proceedings of the 2nd acm sigplan program protection and reverse engineering workshop 2013, pprew 2013",NA,0,NA,NA,0.394,3,NA,NA,NA,-1.63404660336225,NA,"Tier III","Tier III"
"12181","british journal of guidance and counselling",NA,0,NA,NA,0.394,34,0.628,0.00042,NA,1.15200388122065,NA,"Tier III","Tier III"
"12182","reaction kinetics, mechanisms and catalysis",NA,0,NA,NA,0.394,33,NA,NA,NA,1.78057075961137,NA,"Tier II","Tier II"
"12183","high blood pressure and cardiovascular prevention",NA,0,NA,NA,0.394,12,NA,NA,NA,-1.37472083265749,NA,"Tier III","Tier III"
"12184","astronomy reports",NA,0,NA,NA,0.394,24,0.592,0.00141,NA,1.6291231218076,NA,"Tier II","Tier II"
"12185","protein and peptide letters",NA,0,NA,NA,0.394,47,0.964,0.00299,NA,2.47367120107154,NA,"Tier II","Tier II"
"12186","theology and science",NA,0,NA,NA,0.394,4,NA,NA,NA,-1.61576978837865,NA,"Tier III","Tier III"
"12187","onward! 2014  proceedings of the 2014 acm international symposium on new ideas, new paradigms, and reflections on programming and software, part of splash 2014",NA,0,NA,NA,0.394,5,NA,NA,NA,-1.61929320383024,NA,"Tier III","Tier III"
"12188","nonlinear analysis: modelling and control",NA,0,NA,NA,0.394,19,NA,NA,NA,-0.842127407379439,NA,"Tier III","Tier III"
"12189","belgian journal of zoology",NA,0,NA,NA,0.394,25,0.826,0.00023,NA,0.916694595693458,NA,"Tier III","Tier III"
"12190","canadian modern language review",NA,0,NA,NA,0.394,33,NA,NA,NA,1.78938431743572,NA,"Tier II","Tier II"
"12191","sensys 2013  proceedings of the 11th acm conference on embedded networked sensor systems",NA,0,NA,NA,0.394,11,NA,NA,NA,-1.38957722571111,NA,"Tier III","Tier III"
"12192","asiapacific education researcher",NA,0,NA,NA,0.394,16,0.576,0.00072,NA,1.26048939099648,NA,"Tier III","Tier III"
"12193","folia zoologica",NA,0,NA,NA,0.394,28,0.739,0.00065,NA,1.5890816881001,NA,"Tier III","Tier III"
"12194","journal of logical and algebraic methods in programming",NA,0,NA,NA,0.394,6,0.692,0.00017,NA,0.418389913674929,NA,"Tier III","Tier III"
"12195","event management",NA,0,NA,NA,0.393,23,NA,NA,NA,0.195915428960798,NA,"Tier III","Tier III"
"12196","canadian journal of emergency medicine",NA,0,NA,NA,0.393,36,1.311,0.00147,NA,1.44475446041036,NA,"Tier III","Tier III"
"12197","scanning",NA,0,NA,NA,0.393,39,1.345,0.00168,NA,1.70105464549826,NA,"Tier II","Tier II"
"12198","computer law and security review",NA,0,NA,NA,0.393,19,0.938,0.00064,NA,1.46760904081513,NA,"Tier III","Tier III"
"12199","educacao e pesquisa",NA,0,NA,NA,0.393,9,NA,NA,NA,-1.47330219455243,NA,"Tier III","Tier III"
"12200","education for chemical engineers",NA,0,NA,NA,0.393,13,NA,NA,NA,-1.31197730488644,NA,"Tier III","Tier III"
"12201","journal of food processing and preservation",NA,0,NA,NA,0.393,36,0.791,0.00259,NA,2.02840179731333,NA,"Tier II","Tier II"
"12202","journal of chromatographic science",NA,0,NA,NA,0.393,45,0.984,0.00321,NA,2.47564675478969,NA,"Tier II","Tier II"
"12203","history of the family",NA,0,NA,NA,0.393,17,0.455,0.00059,NA,1.29571050698613,NA,"Tier III","Tier III"
"12204","brazilian dental journal",NA,0,NA,NA,0.393,39,NA,NA,NA,1.7180603404918,NA,"Tier II","Tier II"
"12205","international journal of polymeric materials and polymeric biomaterials",NA,0,NA,NA,0.393,26,1.515,0.00149,NA,1.28637859249413,NA,"Tier III","Tier III"
"12206","nordicom review",NA,0,NA,NA,0.393,9,NA,NA,NA,-1.49175513583747,NA,"Tier III","Tier III"
"12207","kindheit und entwicklung",NA,0,NA,NA,0.393,29,1.418,0.00036,NA,0.770568613525754,NA,"Tier III","Tier III"
"12208","clinical medicine insights: endocrinology and diabetes",NA,0,NA,NA,0.393,9,NA,NA,NA,-1.49175513583747,NA,"Tier III","Tier III"
"12209","journal of traditional chinese medicine",NA,0,NA,NA,0.393,19,0.991,0.00163,NA,1.40747431468226,NA,"Tier III","Tier III"
"12210","southwestern entomologist",NA,0,NA,NA,0.392,21,0.482,0.00059,NA,1.41777589301599,NA,"Tier III","Tier III"
"12211","acm transactions on autonomous and adaptive systems",NA,0,NA,NA,0.392,30,2.133,0.00087,NA,1.06780899110381,NA,"Tier III","Tier III"
"12212","proceedings  2013 18th ieee european test symposium, ets 2013",NA,0,NA,NA,0.392,8,NA,NA,NA,-1.50337013914458,NA,"Tier III","Tier III"
"12213","clinical social work journal",NA,0,NA,NA,0.392,25,0.793,0.00074,NA,1.36204053110147,NA,"Tier III","Tier III"
"12214","optical switching and networking",NA,0,NA,NA,0.392,22,1.865,0.001,NA,1.37252758797802,NA,"Tier III","Tier III"
"12215","journal of social service research",NA,0,NA,NA,0.392,26,0.574,0.00089,NA,1.5727614802245,NA,"Tier III","Tier III"
"12216","journal of aerospace information systems",NA,0,NA,NA,0.392,24,0.892,4e-04,NA,1.01021385877581,NA,"Tier III","Tier III"
"12217","military medicine",NA,0,NA,NA,0.392,54,0.906,0.00653,NA,2.39252229571707,NA,"Tier II","Tier II"
"12218","mechanics and physics of creep, shrinkage, and durability of conrete: a tribute to zdenek p bazant  proceedings of the 9th int conf on creep, shrinkage, and durability mechanics, concreep 2013",NA,0,NA,NA,0.392,5,NA,NA,NA,-1.61310199436468,NA,"Tier III","Tier III"
"12219","frontiers of architectural research",NA,0,NA,NA,0.392,10,NA,NA,NA,-1.43232737932558,NA,"Tier III","Tier III"
"12220","asian journal of communication",NA,0,NA,NA,0.392,14,0.638,0.00057,NA,1.38676354929103,NA,"Tier III","Tier III"
"12221","chemical and pharmaceutical bulletin",NA,0,NA,NA,0.391,80,1.133,0.00418,NA,2.40177279394695,NA,"Tier II","Tier II"
"12222","society of petroleum engineers  spe reservoir simulation symposium 2011",NA,0,NA,NA,0.391,12,NA,NA,NA,-1.3447896208682,NA,"Tier III","Tier III"
"12223","international journal of river basin management",NA,0,NA,NA,0.391,19,NA,NA,NA,-0.837273248473435,NA,"Tier III","Tier III"
"12224","shock and vibration",NA,0,NA,NA,0.391,30,1.281,0.0033,NA,1.96216586270243,NA,"Tier II","Tier II"
"12225","polish polar research",NA,0,NA,NA,0.391,23,0.636,0.00059,NA,1.40568070038914,NA,"Tier III","Tier III"
"12226","international journal of multilingualism",NA,0,NA,NA,0.391,11,NA,NA,NA,-1.3876742575423,NA,"Tier III","Tier III"
"12227","australian journal of structural engineering",NA,0,NA,NA,0.391,9,NA,NA,NA,-1.49083419348209,NA,"Tier III","Tier III"
"12228","optoelectronics review",NA,0,NA,NA,0.391,34,1.449,0.00099,NA,1.50480807610864,NA,"Tier III","Tier III"
"12229","records of natural products",NA,0,NA,NA,0.391,20,0.859,0.00106,NA,1.34192114784047,NA,"Tier III","Tier III"
"12230","signal, image and video processing",NA,0,NA,NA,0.391,19,NA,NA,NA,-0.791745302100837,NA,"Tier III","Tier III"
"12231","revista mexicana de ciencias geologicas",NA,0,NA,NA,0.391,28,0.815,0.00081,NA,1.69706686058207,NA,"Tier II","Tier II"
"12232","journal of intellectual disabilities",NA,0,NA,NA,0.391,56,NA,NA,NA,2.08512690296379,NA,"Tier II","Tier II"
"12233","translational andrology and urology",NA,0,NA,NA,0.391,10,NA,NA,NA,-1.43349115082857,NA,"Tier III","Tier III"
"12234","journal of historical research in marketing",NA,0,NA,NA,0.391,10,NA,NA,NA,-1.40605494755419,NA,"Tier III","Tier III"
"12235","revista espanola de enfermedades digestivas",NA,0,NA,NA,0.391,32,1.401,0.00171,NA,1.46969433195191,NA,"Tier III","Tier III"
"12236","realtime technology and applications  proceedings",NA,0,NA,NA,0.391,37,NA,NA,NA,1.8107336316406,NA,"Tier II","Tier II"
"12237","law and policy",NA,0,NA,NA,0.391,27,0.828,0.00084,NA,1.72007835589272,NA,"Tier II","Tier II"
"12238","drug discovery today: disease models",NA,0,NA,NA,0.391,20,NA,NA,NA,-0.430184794157091,NA,"Tier III","Tier III"
"12239","applied and translational genomics",NA,0,NA,NA,0.391,7,NA,NA,NA,-1.57076490534773,NA,"Tier III","Tier III"
"12240","ardeola",NA,0,NA,NA,0.391,20,0.807,0.00043,NA,0.719410223314346,NA,"Tier III","Tier III"
"12241","college composition and communication",NA,0,NA,NA,0.391,27,NA,NA,NA,1.16131332680828,NA,"Tier III","Tier III"
"12242","libri",NA,0,NA,NA,0.39,20,0.4,0.00028,NA,0.71551725042385,NA,"Tier III","Tier III"
"12243","iranian polymer journal (english edition)",NA,0,NA,NA,0.39,30,NA,NA,NA,1.39945075517164,NA,"Tier III","Tier III"
"12244","school leadership and management",NA,0,NA,NA,0.39,33,NA,NA,NA,1.80141295565342,NA,"Tier II","Tier II"
"12245","revista ceres",NA,0,NA,NA,0.39,7,NA,NA,NA,-1.57232693860655,NA,"Tier III","Tier III"
"12246","dls 2013  proceedings of the 9th symposium on dynamic languages, colocated with splash 2013",NA,0,NA,NA,0.39,4,NA,NA,NA,-1.58663859985952,NA,"Tier III","Tier III"
"12247","nora  nordic journal of feminist and gender research",NA,0,NA,NA,0.39,10,NA,NA,NA,-1.40812499592468,NA,"Tier III","Tier III"
"12248","paleontological journal",NA,0,NA,NA,0.39,22,0.48,0.00115,NA,1.37248874653051,NA,"Tier III","Tier III"
"12249","blumea",NA,0,NA,NA,0.39,19,0.543,0.00023,NA,0.782889002733617,NA,"Tier III","Tier III"
"12250","2013 4th european workshop on visual information processing, euvip 2013",NA,0,NA,NA,0.39,4,NA,NA,NA,-1.42218552559215,NA,"Tier III","Tier III"
"12251","physics and chemistry of liquids",NA,0,NA,NA,0.39,28,1.145,0.00063,NA,1.5728728341242,NA,"Tier III","Tier III"
"12252","crosscultural research",NA,0,NA,NA,0.39,32,0.851,0.00056,NA,1.44013153197586,NA,"Tier III","Tier III"
"12253","numerical mathematics",NA,0,NA,NA,0.39,12,NA,NA,NA,-1.37547020498192,NA,"Tier III","Tier III"
"12254","journal of agricultural meteorology",NA,0,NA,NA,0.39,5,0.925,0.00034,NA,0.734744258775727,NA,"Tier III","Tier III"
"12255","ichthyological exploration of freshwaters",NA,0,NA,NA,0.39,17,0.953,0.00071,NA,1.40617544723349,NA,"Tier III","Tier III"
"12256","plasma science and technology",NA,0,NA,NA,0.39,21,0.83,0.00266,NA,1.66266213281455,NA,"Tier II","Tier II"
"12257","canadian pharmacists journal",NA,0,NA,NA,0.39,14,NA,NA,NA,-1.10348193751794,NA,"Tier III","Tier III"
"12258","ieee magnetics letters",NA,0,NA,NA,0.39,13,1.644,0.00179,NA,1.42438512332818,NA,"Tier III","Tier III"
"12259","revista mexicana de investigacion educativa",NA,0,NA,NA,0.39,4,NA,NA,NA,-1.42218552559215,NA,"Tier III","Tier III"
"12260","proceedings of the 2013 ieee/acm international symposium on code generation and optimization, cgo 2013",NA,0,NA,NA,0.39,9,NA,NA,NA,-1.49163808168395,NA,"Tier III","Tier III"
"12261","health information and libraries journal",NA,0,NA,NA,0.389,32,0.875,0.00071,NA,1.68893361294124,NA,"Tier II","Tier II"
"12262","south african journal of geology",NA,0,NA,NA,0.389,37,0.636,0.00077,NA,1.74415851154602,NA,"Tier II","Tier II"
"12263","experimental agriculture",NA,0,NA,NA,0.389,32,1.068,0.00102,NA,1.82708082026813,NA,"Tier II","Tier II"
"12264","monthly review",NA,0,NA,NA,0.389,23,NA,NA,NA,-0.168872067615948,NA,"Tier III","Tier III"
"12265","polymer  plastics technology and engineering",NA,0,NA,NA,0.389,40,NA,NA,NA,1.58500937054698,NA,"Tier III","Tier III"
"12266","hepatogastroenterology",NA,0,NA,NA,0.389,69,NA,NA,NA,2.26183687189267,NA,"Tier II","Tier II"
"12267","journal of further and higher education",NA,0,NA,NA,0.389,11,NA,NA,NA,-1.41568382246036,NA,"Tier III","Tier III"
"12268","journal of the american society of brewing chemists",NA,0,NA,NA,0.389,33,0.88,0.00046,NA,1.49778716602483,NA,"Tier III","Tier III"
"12269","chilean journal of agricultural research",NA,0,NA,NA,0.389,17,0.719,0.00137,NA,1.28611120943409,NA,"Tier III","Tier III"
"12270","international journal of cyber criminology",NA,0,NA,NA,0.389,6,NA,NA,NA,-1.61650866754015,NA,"Tier III","Tier III"
"12271","sae international journal of commercial vehicles",NA,0,NA,NA,0.389,10,NA,NA,NA,-1.43665160836597,NA,"Tier III","Tier III"
"12272","adult education quarterly",NA,0,NA,NA,0.389,36,0.919,0.00027,NA,1.10299981343485,NA,"Tier III","Tier III"
"12273","international journal of chemical kinetics",NA,0,NA,NA,0.389,59,1.386,0.00192,NA,1.60737695694218,NA,"Tier II","Tier II"
"12274","acta of bioengineering and biomechanics",NA,0,NA,NA,0.389,15,0.914,0.00077,NA,1.46078397382861,NA,"Tier III","Tier III"
"12275","psychodynamic psychiatry",NA,0,NA,NA,0.389,19,NA,NA,NA,-0.692090162713196,NA,"Tier III","Tier III"
"12276","rare metals",NA,0,NA,NA,0.389,23,1.189,0.00181,NA,1.64121350797172,NA,"Tier II","Tier II"
"12277","bioengineered",NA,0,NA,NA,0.389,20,1.691,0.0013,NA,1.24799885752453,NA,"Tier III","Tier III"
"12278","friction",NA,0,NA,NA,0.389,7,1.508,0.00073,NA,1.13455591521855,NA,"Tier III","Tier III"
"12279","computational condensed matter",NA,0,NA,NA,0.389,4,NA,NA,NA,-1.59929245278969,NA,"Tier III","Tier III"
"12280","norsk epidemiologi",NA,0,NA,NA,0.389,11,NA,NA,NA,-1.39974985160522,NA,"Tier III","Tier III"
"12281","public health research and practice",NA,0,NA,NA,0.389,19,NA,NA,NA,-0.714469621767867,NA,"Tier III","Tier III"
"12282","2013 1st international workshop on software ecosystem architectures, wea 2013  proceedings",NA,0,NA,NA,0.389,4,NA,NA,NA,-1.59929245278969,NA,"Tier III","Tier III"
"12283","civil wars",NA,0,NA,NA,0.389,9,NA,NA,NA,-1.49272849085087,NA,"Tier III","Tier III"
"12284","journal of the national medical association",NA,0,NA,NA,0.389,58,0.182,0.00136,NA,1.17945201178497,NA,"Tier III","Tier III"
"12285","journal of social welfare and family law",NA,0,NA,NA,0.388,13,NA,NA,NA,-0.830005545939985,NA,"Tier III","Tier III"
"12286","genomics data",NA,0,NA,NA,0.388,7,NA,NA,NA,-1.57449602138472,NA,"Tier III","Tier III"
"12287","journal of thermoplastic composite materials",NA,0,NA,NA,0.388,32,0.903,0.00119,NA,1.78374637168427,NA,"Tier II","Tier II"
"12288","asiapacific journal of operational research",NA,0,NA,NA,0.388,25,0.364,0.00055,NA,1.1618750146768,NA,"Tier III","Tier III"
"12289","proceedings of the 2013 ieee international electric machines and drives conference, iemdc 2013",NA,0,NA,NA,0.388,13,NA,NA,NA,-1.30051458650065,NA,"Tier III","Tier III"
"12290","kragujevac journal of mathematics",NA,0,NA,NA,0.388,8,NA,NA,NA,-1.50116720793888,NA,"Tier III","Tier III"
"12291","canadian psychology",NA,0,NA,NA,0.388,39,NA,NA,NA,1.74211490486331,NA,"Tier II","Tier II"
"12292","journal of carbohydrate chemistry",NA,0,NA,NA,0.388,32,0.671,0.00069,NA,1.58465546841688,NA,"Tier III","Tier III"
"12293","canadian journal of civil engineering",NA,0,NA,NA,0.388,46,0.591,0.00225,NA,2.31634355988339,NA,"Tier II","Tier II"
"12294","european journal of training and development",NA,0,NA,NA,0.388,30,NA,NA,NA,1.72931099727191,NA,"Tier II","Tier II"
"12295","proceedings  2014 3rd european workshop on softwaredefined networks, ewsdn 2014",NA,0,NA,NA,0.388,9,NA,NA,NA,-1.49392475367238,NA,"Tier III","Tier III"
"12296","developments in biologicals",NA,0,NA,NA,0.388,33,NA,NA,NA,1.76424068774298,NA,"Tier II","Tier II"
"12297","acta veterinaria",NA,0,NA,NA,0.388,12,NA,NA,NA,-1.37907571149754,NA,"Tier III","Tier III"
"12298","journal of screenwriting",NA,0,NA,NA,0.388,3,NA,NA,NA,-1.52255527550863,NA,"Tier III","Tier III"
"12299","zoosystematics and evolution",NA,0,NA,NA,0.388,10,0.931,0.00034,NA,0.999463210596294,NA,"Tier III","Tier III"
"12300","note di matematica",NA,0,NA,NA,0.387,12,NA,NA,NA,-1.3831946016276,NA,"Tier III","Tier III"
"12302","journal of cave and karst studies",NA,0,NA,NA,0.387,32,1.302,0.00054,NA,1.27419505606014,NA,"Tier III","Tier III"
"12303","cambridge quarterly of healthcare ethics",NA,0,NA,NA,0.387,28,1.077,0.00078,NA,1.43582684490275,NA,"Tier III","Tier III"
"12304","ciencia e agrotecnologia",NA,0,NA,NA,0.387,22,0.618,0.00207,NA,1.75657094662804,NA,"Tier II","Tier II"
"12305","international journal on document analysis and recognition",NA,0,NA,NA,0.387,40,0.902,0.00052,NA,1.58128865095855,NA,"Tier III","Tier III"
"12306","terminology",NA,0,NA,NA,0.387,18,0.619,0.00022,NA,0.720962836979573,NA,"Tier III","Tier III"
"12307","revista de sociologia e politica",NA,0,NA,NA,0.387,7,NA,NA,NA,-1.57548897897964,NA,"Tier III","Tier III"
"12308","oral and implantology",NA,0,NA,NA,0.387,10,NA,NA,NA,-1.43941249904708,NA,"Tier III","Tier III"
"12309","clinical teacher",NA,0,NA,NA,0.387,16,NA,NA,NA,-1.13451393363536,NA,"Tier III","Tier III"
"12310","sexuality and disability",NA,0,NA,NA,0.387,29,0.908,0.00071,NA,1.67254327685739,NA,"Tier II","Tier II"
"12311","research in postcompulsory education",NA,0,NA,NA,0.387,12,NA,NA,NA,-1.35563212586083,NA,"Tier III","Tier III"
"12312","solar system research",NA,0,NA,NA,0.387,20,0.5,0.00092,NA,1.22139657041872,NA,"Tier III","Tier III"
"12313","clinical and experimental hypertension",NA,0,NA,NA,0.386,42,1.162,0.0017,NA,1.85474320897214,NA,"Tier II","Tier II"
"12314","polish journal of pathology",NA,0,NA,NA,0.386,20,0.99,7e-04,NA,1.51251406721757,NA,"Tier III","Tier III"
"12315","informatica",NA,0,NA,NA,0.386,27,1.056,0.00071,NA,1.61249449416521,NA,"Tier II","Tier II"
"12316","therapeutic advances in vaccines",NA,0,NA,NA,0.386,1,NA,NA,NA,-1.91293885148425,NA,"Tier III","Tier III"
"12317","current herpetology",NA,0,NA,NA,0.386,8,NA,NA,NA,-1.50373856358194,NA,"Tier III","Tier III"
"12318","drug metabolism letters",NA,0,NA,NA,0.386,22,NA,NA,NA,0.13607777176811,NA,"Tier III","Tier III"
"12319","canadian veterinary journal",NA,0,NA,NA,0.386,48,NA,NA,NA,1.79535365742026,NA,"Tier II","Tier II"
"12320","program",NA,0,NA,NA,0.386,22,NA,NA,NA,0.438469328425972,NA,"Tier III","Tier III"
"12321","lixue xuebao/chinese journal of theoretical and applied mechanics",NA,0,NA,NA,0.386,16,NA,NA,NA,-1.08057102015215,NA,"Tier III","Tier III"
"12322","anais da academia brasileira de ciencias",NA,0,NA,NA,0.386,45,0.861,0.00282,NA,2.24966833069406,NA,"Tier II","Tier II"
"12323","proceedings of the japan academy series a: mathematical sciences",NA,0,NA,NA,0.386,16,NA,NA,NA,-1.1938188742991,NA,"Tier III","Tier III"
"12324","revue de micropaleontologie",NA,0,NA,NA,0.386,24,NA,NA,NA,0.597641785312333,NA,"Tier III","Tier III"
"12325","theoretical issues in ergonomics science",NA,0,NA,NA,0.386,18,NA,NA,NA,-0.812053113621089,NA,"Tier III","Tier III"
"12326","frontiers of mathematics in china",NA,0,NA,NA,0.386,18,0.333,0.0027,NA,1.00098088030165,NA,"Tier III","Tier III"
"12327","australasian journal of environmental management",NA,0,NA,NA,0.386,21,1.019,0.00037,NA,0.904181074511973,NA,"Tier III","Tier III"
"12328","journal of evolutionary psychology",NA,0,NA,NA,0.386,18,NA,NA,NA,-1.11434426937411,NA,"Tier III","Tier III"
"12329","journal of islamic studies",NA,0,NA,NA,0.386,6,NA,NA,NA,-1.61408206641108,NA,"Tier III","Tier III"
"12330","journal of craniofacial surgery",NA,0,NA,NA,0.386,59,0.788,0.01097,NA,2.39426560127526,NA,"Tier II","Tier II"
"12331","middle eastern studies",NA,0,NA,NA,0.386,25,0.433,0.00071,NA,1.43439535947779,NA,"Tier III","Tier III"
"12332","international journal of engineering education",NA,0,NA,NA,0.386,37,0.609,0.00078,NA,1.72769009951047,NA,"Tier II","Tier II"
"12333","sustainable chemistry and pharmacy",NA,0,NA,NA,0.386,4,NA,NA,NA,-1.59755538541552,NA,"Tier III","Tier III"
"12334","international journal of spine surgery",NA,0,NA,NA,0.386,13,NA,NA,NA,-1.07832399816817,NA,"Tier III","Tier III"
"12335","journal of divorce and remarriage",NA,0,NA,NA,0.385,18,NA,NA,NA,-1.00562017611762,NA,"Tier III","Tier III"
"12336","documents d' analisi geografica",NA,0,NA,NA,0.385,10,NA,NA,NA,-1.44266009793994,NA,"Tier III","Tier III"
"12337","nordic pulp and paper research journal",NA,0,NA,NA,0.385,42,1.354,0.00148,NA,1.73671388540368,NA,"Tier II","Tier II"
"12338","journal of animal and feed sciences",NA,0,NA,NA,0.385,24,1.024,8e-04,NA,1.10989041016538,NA,"Tier III","Tier III"
"12339","international journal of clinical pharmacology and therapeutics",NA,0,NA,NA,0.385,60,0.927,0.0021,NA,2.34925315795791,NA,"Tier II","Tier II"
"12340","recent patents on nanotechnology",NA,0,NA,NA,0.385,21,0.912,4e-04,NA,0.94041496379564,NA,"Tier III","Tier III"
"12341","journal for advancement of marketing education",NA,0,NA,NA,0.385,3,NA,NA,NA,-1.61508179937666,NA,"Tier III","Tier III"
"12342","rural society",NA,0,NA,NA,0.385,13,NA,NA,NA,-1.33258886698974,NA,"Tier III","Tier III"
"12343","journal of back and musculoskeletal rehabilitation",NA,0,NA,NA,0.385,21,0.912,0.00154,NA,1.69320039416802,NA,"Tier II","Tier II"
"12344","young",NA,0,NA,NA,0.385,17,0.707,0.00033,NA,0.946072227932533,NA,"Tier III","Tier III"
"12345","consulting psychology journal",NA,0,NA,NA,0.385,33,NA,NA,NA,1.80467927947489,NA,"Tier II","Tier II"
"12346","waves in random and complex media",NA,0,NA,NA,0.385,37,1.447,0.00095,NA,1.34701723853374,NA,"Tier III","Tier III"
"12347","acm transactions on internet technology",NA,0,NA,NA,0.385,37,1.489,0.00062,NA,1.44655236016489,NA,"Tier III","Tier III"
"12348","geografisk tidsskrift",NA,0,NA,NA,0.384,20,NA,NA,NA,-0.442257587423814,NA,"Tier III","Tier III"
"12349","manufacturing technology",NA,0,NA,NA,0.384,18,NA,NA,NA,-0.641459182172438,NA,"Tier III","Tier III"
"12350","international journal of circuit theory and applications",NA,0,NA,NA,0.384,42,1.571,0.00165,NA,1.78490567199185,NA,"Tier II","Tier II"
"12351","open learning",NA,0,NA,NA,0.384,13,NA,NA,NA,-1.14309977738124,NA,"Tier III","Tier III"
"12352","journal of islamic accounting and business research",NA,0,NA,NA,0.384,9,NA,NA,NA,-1.49533318049434,NA,"Tier III","Tier III"
"12353","journal of pharmacognosy and phytotherapy",NA,0,NA,NA,0.384,14,NA,NA,NA,-1.08670387472073,NA,"Tier III","Tier III"
"12354","saude e sociedade",NA,0,NA,NA,0.384,13,0.312,0.00072,NA,0.729795382882574,NA,"Tier III","Tier III"
"12355","annals of functional analysis",NA,0,NA,NA,0.384,7,0.477,0.00098,NA,1.13940621164971,NA,"Tier III","Tier III"
"12356","neuroradiology journal",NA,0,NA,NA,0.384,15,NA,NA,NA,-1.07109267223603,NA,"Tier III","Tier III"
