"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"14695","international journal of turbo and jet engines",NA,0,NA,NA,"0.286","17",NA,NA,NA
"14696","zeitschrift für gesundheitswissenschaften",NA,0,NA,NA,"0.286","23",NA,NA,NA
"14697","journal of social, evolutionary, and cultural psychology",NA,0,NA,NA,"0.286","10",NA,NA,NA
"14698","revista espanola de orientacion y psicopedagia",NA,0,NA,NA,"0.286","4",NA,NA,NA
"14699","journal of reformed theology",NA,0,NA,NA,"0.286","2",NA,NA,NA
"14700","soviet and post soviet review",NA,0,NA,NA,"0.286","4",NA,NA,NA
"14701","journal of industrial and production engineering",NA,0,NA,NA,"0.286","18",NA,NA,NA
"14702","international conference on wireless and mobile computing, networking and communications",NA,0,NA,NA,"0.286","13",NA,NA,NA
"14703","studies in gender and sexuality",NA,0,NA,NA,"0.286","11",NA,NA,NA
"14704","nationalism and ethnic politics",NA,0,NA,NA,"0.286","19",NA,NA,NA
"14705","international journal of renewable energy research",NA,0,NA,NA,"0.286","15",NA,NA,NA
"14706","prospects",NA,0,NA,NA,"0.286","14",NA,NA,NA
"14707","airfield and highway pavement 2013: sustainable and efficient pavements  proceedings of the 2013 airfield and highway pavement conference",NA,0,NA,NA,"0.286","5",NA,NA,NA
"14708","capitalism, nature, socialism",NA,0,NA,NA,"0.286","21",NA,NA,NA
"14709","ajob empirical bioethics",NA,0,NA,NA,"0.286","10",NA,NA,NA
"14710","acta tabacaria sinica",NA,0,NA,NA,"0.286","2",NA,NA,NA
"14711","engineering letters",NA,0,NA,NA,"0.286","10",NA,NA,NA
"14712","informing science",NA,0,NA,NA,"0.286","22",NA,NA,NA
"14713","2014 ieee transportation electrification conference and expo: components, systems, and power electronics  from technology to business and public policy, itec 2014",NA,0,NA,NA,"0.286","6",NA,NA,NA
"14714","international journal of agricultural and biological engineering",NA,0,NA,NA,"0.286","15","0.835","0.00072",NA
"14715","journal of modern applied statistical methods",NA,0,NA,NA,"0.286","17",NA,NA,NA
"14716","british journal of special education",NA,0,NA,NA,"0.285","20",NA,NA,NA
"14717","transactions of the royal historical society",NA,0,NA,NA,"0.285","21",NA,NA,NA
"14718","glasnik matematicki",NA,0,NA,NA,"0.285","12","0.328","0.00049",NA
"14719","british journal of diabetes and vascular disease",NA,0,NA,NA,"0.285","19",NA,NA,NA
"14720","journal of child and adolescent substance abuse",NA,0,NA,NA,"0.285","29","0.506","0.00055",NA
"14721","ai communications",NA,0,NA,NA,"0.285","33","0.654","0.00098",NA
"14722","proceedings  international symposium on asynchronous circuits and systems",NA,0,NA,NA,"0.285","28",NA,NA,NA
"14723","international journal on smart sensing and intelligent systems",NA,0,NA,NA,"0.285","16",NA,NA,NA
"14724","forestry studies",NA,0,NA,NA,"0.285","8",NA,NA,NA
"14725","proceedings of the institution of mechanical engineers, part k: journal of multibody dynamics",NA,0,NA,NA,"0.285","28",NA,NA,NA
"14726","vitis  journal of grapevine research",NA,0,NA,NA,"0.285","40",NA,NA,NA
"14727","current science",NA,0,NA,NA,"0.285","93","0.843","0.00721",NA
"14728","african journal of primary health care and family medicine",NA,0,NA,NA,"0.285","9",NA,NA,NA
"14729","international journal of community music",NA,0,NA,NA,"0.285","4",NA,NA,NA
"14730","journal of clinical imaging science",NA,0,NA,NA,"0.285","11",NA,NA,NA
"14731","urban design international",NA,0,NA,NA,"0.285","18","0.405","0.00038",NA
"14732","computer science  research and development",NA,0,NA,NA,"0.285","20",NA,NA,NA
"14733","geotectonica et metallogenia",NA,0,NA,NA,"0.285","7",NA,NA,NA
"14734","british journal of nursing",NA,0,NA,NA,"0.285","36",NA,NA,NA
"14735","petroleum science and technology",NA,0,NA,NA,"0.285","32","0.655","0.0017",NA
"14736","iet biometrics",NA,0,NA,NA,"0.285","12","1.382","4e-04",NA
"14737","2014 ieee 3rd international conference on cloud networking, cloudnet 2014",NA,0,NA,NA,"0.285","8",NA,NA,NA
"14738","canadian metallurgical quarterly",NA,0,NA,NA,"0.285","30","0.596","0.00077",NA
"14739","international journal of hydrology science and technology",NA,0,NA,NA,"0.285","5",NA,NA,NA
"14740","in silico biology",NA,0,NA,NA,"0.285","41",NA,NA,NA
"14741","erwerbsobstbau",NA,0,NA,NA,"0.285","10","0.615","1e-04",NA
"14742","computer journal",NA,0,NA,NA,"0.285","51","0.711","0.00301",NA
"14743","southern communication journal",NA,0,NA,NA,"0.285","11",NA,NA,NA
"14744","codas",NA,0,NA,NA,"0.285","15",NA,NA,NA
"14745","journal of convention and event tourism",NA,0,NA,NA,"0.285","17",NA,NA,NA
"14746","post reproductive health",NA,0,NA,NA,"0.285","4",NA,NA,NA
"14747","advances in global leadership",NA,0,NA,NA,"0.285","12",NA,NA,NA
"14748","california agriculture",NA,0,NA,NA,"0.285","16","0.8","0.00037",NA
"14749","iberica",NA,0,NA,NA,"0.284","12","0.2","0.00038",NA
"14750","international journal of risk and safety in medicine",NA,0,NA,NA,"0.284","19",NA,NA,NA
"14751","bulletin of the british ornithologists' club",NA,0,NA,NA,"0.284","7",NA,NA,NA
"14752","journal of applied animal research",NA,0,NA,NA,"0.284","18","0.426","0.00057",NA
"14753","conformal geometry and dynamics",NA,0,NA,NA,"0.284","10",NA,NA,NA
"14754","nano",NA,0,NA,NA,"0.284","20","1.025","0.00136",NA
"14755","veterinary world",NA,0,NA,NA,"0.284","15",NA,NA,NA
"14756","pediatric neurosurgery",NA,0,NA,NA,"0.284","65","0.55","0.00096",NA
"14757","iie transactions on healthcare systems engineering",NA,0,NA,NA,"0.284","6",NA,NA,NA
"14758","pharmacognosy journal",NA,0,NA,NA,"0.284","10",NA,NA,NA
"14759","gms german medical science",NA,0,NA,NA,"0.284","15",NA,NA,NA
"14760","cea 2013  proceedings of the 5th international workshop on multimedia for cooking and eating activities",NA,0,NA,NA,"0.284","3",NA,NA,NA
"14761","semiconductors and semimetals",NA,0,NA,NA,"0.284","21","0.909","0.00028",NA
"14762","dados",NA,0,NA,NA,"0.284","18",NA,NA,NA
"14763","american journal of dance therapy",NA,0,NA,NA,"0.284","14",NA,NA,NA
"14764","journal of cardiovascular disease research",NA,0,NA,NA,"0.284","17",NA,NA,NA
"14765","transactions of the moscow mathematical society",NA,0,NA,NA,"0.284","4",NA,NA,NA
"14766","listy cukrovarnicke a reparske",NA,0,NA,NA,"0.284","10","0.218","4e-05",NA
"14767","international conference on the european energy market, eem",NA,0,NA,NA,"0.284","8",NA,NA,NA
"14768","journal of medicine and life",NA,0,NA,NA,"0.284","19",NA,NA,NA
"14769","environmental protection engineering",NA,0,NA,NA,"0.284","14",NA,NA,NA
"14770","jornal brasileiro de nefrologia : orgão oficial de sociedades brasileira e latinoamericana de nefrologia",NA,0,NA,NA,"0.284","12",NA,NA,NA
"14771","grassland science",NA,0,NA,NA,"0.284","11","0.734","0.00043",NA
"14772","miskolc mathematical notes",NA,0,NA,NA,"0.284","9","0.388","0.00072",NA
"14773","aiaa guidance, navigation, and control (gnc) conference",NA,0,NA,NA,"0.284","11",NA,NA,NA
"14774","american journal of case reports",NA,0,NA,NA,"0.284","12",NA,NA,NA
"14775","technology and disability",NA,0,NA,NA,"0.284","29",NA,NA,NA
"14776","transport problems",NA,0,NA,NA,"0.284","6",NA,NA,NA
"14777","journal of aquaculture research and development",NA,0,NA,NA,"0.284","9",NA,NA,NA
"14778","international journal of polymer science",NA,0,NA,NA,"0.284","15","1.077","0.00204",NA
"14779","zeitschrift fur papyrologie und epigraphik",NA,0,NA,NA,"0.284","14",NA,NA,NA
"14780","journal of library metadata",NA,0,NA,NA,"0.284","11",NA,NA,NA
"14781","international journal of angiology",NA,0,NA,NA,"0.284","18",NA,NA,NA
"14782","journal of environmental engineering and landscape management",NA,0,NA,NA,"0.284","20","0.635","3e-04",NA
"14783","russian journal of nondestructive testing",NA,0,NA,NA,"0.284","13","0.492","0.00034",NA
"14784","natural product communications",NA,0,NA,NA,"0.284","30","0.773","0.00543",NA
"14785","erlang 2014  proceedings of the 2014 acm sigplan erlang workshop",NA,0,NA,NA,"0.284","3",NA,NA,NA
"14786","international journal of fruit science",NA,0,NA,NA,"0.283","11",NA,NA,NA
"14787","proceedings of bs 2013: 13th conference of the international building performance simulation association",NA,0,NA,NA,"0.283","10",NA,NA,NA
"14788","eesti ja soomeugri keeleteaduse ajakiri",NA,0,NA,NA,"0.283","2",NA,NA,NA
"14789","advances in eating disorders: theory, research and practice",NA,0,NA,NA,"0.283","1",NA,NA,NA
"14790","new generation computing",NA,0,NA,NA,"0.283","24","0.657","3e-04",NA
"14791","2013 16th international conference on advanced robotics, icar 2013",NA,0,NA,NA,"0.283","7",NA,NA,NA
"14792","energy technology",NA,0,NA,NA,"0.283","6","2.789","0.00317",NA
"14793","sylwan",NA,0,NA,NA,"0.283","5","0.481","0.00039",NA
"14794","international journal of engineering, transactions b: applications",NA,0,NA,NA,"0.283","11",NA,NA,NA
"14795","proceedings of institution of civil engineers: waste and resource management",NA,0,NA,NA,"0.283","11",NA,NA,NA
"14796","indian heart journal",NA,0,NA,NA,"0.283","32",NA,NA,NA
"14797","journal of food measurement and characterization",NA,0,NA,NA,"0.283","6","0.536","0.00028",NA
"14798","journal of cotton science",NA,0,NA,NA,"0.283","32",NA,NA,NA
"14799","journal of the virtual explorer",NA,0,NA,NA,"0.283","22",NA,NA,NA
"14800","sigcse 2014  proceedings of the 45th acm technical symposium on computer science education",NA,0,NA,NA,"0.283","10",NA,NA,NA
"14801","china communications",NA,0,NA,NA,"0.283","15","0.903","0.00178",NA
"14802","acta medica iranica",NA,0,NA,NA,"0.283","17",NA,NA,NA
"14803","australian orthodontic journal",NA,0,NA,NA,"0.283","18","0.423","0.00039",NA
"14804","society of petroleum engineers  spe deepwater drilling and completions conference 2014",NA,0,NA,NA,"0.283","5",NA,NA,NA
"14805","advances in nursing science",NA,0,NA,NA,"0.283","49","0.683","0.00064",NA
"14806","research on chemical intermediates",NA,0,NA,NA,"0.283","37","1.369","0.00456",NA
"14807","clinical journal of oncology nursing",NA,0,NA,NA,"0.283","34","0.627","0.00183",NA
"14808","primate conservation",NA,0,NA,NA,"0.283","9",NA,NA,NA
"14809","proceedings of the 2013 ieee/acm international conference on advances in social networks analysis and mining, asonam 2013",NA,0,NA,NA,"0.283","12",NA,NA,NA
"14810","8th symposium on space resource utilization",NA,0,NA,NA,"0.283","2",NA,NA,NA
"14811","advances in manufacturing",NA,0,NA,NA,"0.283","8",NA,NA,NA
"14812","ieee international conference on group iv photonics gfp",NA,0,NA,NA,"0.283","16",NA,NA,NA
"14813","proceedings  international conference on tools with artificial intelligence, ictai",NA,0,NA,NA,"0.283","28",NA,NA,NA
"14814","journal of futures studies",NA,0,NA,NA,"0.283","13",NA,NA,NA
"14815","aging health",NA,0,NA,NA,"0.283","15",NA,NA,NA
"14816","herald of the russian academy of sciences",NA,0,NA,NA,"0.283","7","0.44","0.00028",NA
"14817","contemporary political theory",NA,0,NA,NA,"0.283","7","0.6","0.00047",NA
"14818","ultrasound quarterly",NA,0,NA,NA,"0.282","31","0.902","0.00078",NA
"14819","frontiers of neurology and neuroscience",NA,0,NA,NA,"0.282","19",NA,NA,NA
"14820","international journal of mathematical analysis",NA,0,NA,NA,"0.282","17",NA,NA,NA
"14821","world review of intermodal transportation research",NA,0,NA,NA,"0.282","9",NA,NA,NA
"14822","postepy higieny i medycyny doswiadczalnej",NA,0,NA,NA,"0.282","22","0.69","0.00125",NA
"14823","advances in otorhinolaryngology",NA,0,NA,NA,"0.282","29",NA,NA,NA
"14824","drug research",NA,0,NA,NA,"0.282","53",NA,NA,NA
"14825","frontiers in offshore geotechnics iii  3rd international symposium on frontiers in offshore geotechnics, isfog 2015",NA,0,NA,NA,"0.282","3",NA,NA,NA
"14826","procedia engineering",NA,0,NA,NA,"0.282","31",NA,NA,NA
"14827","spe/iadc drilling conference, proceedings",NA,0,NA,NA,"0.282","19",NA,NA,NA
"14828","journal of palliative care",NA,0,NA,NA,"0.282","45","0.618","0.00055",NA
"14829","2014 ieee conference on communications and network security, cns 2014",NA,0,NA,NA,"0.282","7",NA,NA,NA
"14830","studies in chinese linguistics",NA,0,NA,NA,"0.282","2",NA,NA,NA
"14831","afrika matematika",NA,0,NA,NA,"0.282","8",NA,NA,NA
"14832","turkish journal of fisheries and aquatic sciences",NA,0,NA,NA,"0.282","17","0.484","0.00114",NA
"14833","2013 47th annual conference on information sciences and systems, ciss 2013",NA,0,NA,NA,"0.282","8",NA,NA,NA
"14834","journal of liquid chromatography and related technologies",NA,0,NA,NA,"0.282","43","0.697","0.00233",NA
"14835","image analysis and stereology",NA,0,NA,NA,"0.282","12","1.135","0.00053",NA
"14836","teorija in praksa",NA,0,NA,NA,"0.282","5",NA,NA,NA
"14837","pediatric nursing",NA,0,NA,NA,"0.282","39",NA,NA,NA
"14838","advances in engineering education",NA,0,NA,NA,"0.282","13",NA,NA,NA
"14839","naturschutz und landschaftsplanung",NA,0,NA,NA,"0.282","11",NA,NA,NA
"14840","international journal of public administration",NA,0,NA,NA,"0.282","23",NA,NA,NA
"14841","international journal of metalcasting",NA,0,NA,NA,"0.282","9","0.392","0.00015",NA
"14842","proceedings of the 2013 ifip/ieee international symposium on integrated network management, im 2013",NA,0,NA,NA,"0.282","15",NA,NA,NA
"14843","revista caatinga",NA,0,NA,NA,"0.282","10","0.267","0.00066",NA
"14844","arab journal of urology",NA,0,NA,NA,"0.282","8",NA,NA,NA
"14845","advances in materials science and engineering",NA,0,NA,NA,"0.282","17","1.299","0.00524",NA
"14846","european journal of horticultural science",NA,0,NA,NA,"0.282","23","0.446","0.00027",NA
"14847","2014 ieee power and energy conference at illinois, peci 2014",NA,0,NA,NA,"0.281","4",NA,NA,NA
"14848","visual communication",NA,0,NA,NA,"0.281","14","0.689","0.00076",NA
"14849","wideochirurgia i inne techniki maloinwazyjne",NA,0,NA,NA,"0.281","12",NA,NA,NA
"14850","international journal of politics, culture and society",NA,0,NA,NA,"0.281","17",NA,NA,NA
"14851","journal of intelligence studies in business",NA,0,NA,NA,"0.281","5",NA,NA,NA
"14852","zhongguo guanxing jishu xuebao/journal of chinese inertial technology",NA,0,NA,NA,"0.281","11",NA,NA,NA
"14853","aana journal",NA,0,NA,NA,"0.281","21",NA,NA,NA
"14854","rhodora",NA,0,NA,NA,"0.281","18","0.25","0.00012",NA
"14855","sao paulo medical journal",NA,0,NA,NA,"0.281","30","0.929","0.00102",NA
"14856","2014 10th international conference on information assurance and security, ias 2014",NA,0,NA,NA,"0.281","3",NA,NA,NA
"14857","zephyrus",NA,0,NA,NA,"0.281","6",NA,NA,NA
"14858","folia biologica",NA,0,NA,NA,"0.281","17","0.939","0.00063",NA
"14859","acta anaesthesiologica belgica",NA,0,NA,NA,"0.281","22",NA,NA,NA
"14860","organised sound",NA,0,NA,NA,"0.281","12",NA,NA,NA
"14861","proceedings  ieee 20th international conference on web services, icws 2013",NA,0,NA,NA,"0.281","12",NA,NA,NA
"14862","revista cubana de informacion en ciencias de la salud",NA,0,NA,NA,"0.281","6",NA,NA,NA
"14863","critique  studies in contemporary fiction",NA,0,NA,NA,"0.281","9",NA,NA,NA
"14864","raisons politiques",NA,0,NA,NA,"0.281","8",NA,NA,NA
"14865","open physics",NA,0,NA,NA,"0.281","26","0.745","0.00027",NA
"14866","journal of cold regions engineering  asce",NA,0,NA,NA,"0.281","22",NA,NA,NA
"14867","ab imperio",NA,0,NA,NA,"0.281","5",NA,NA,NA
"14868","2014 ieee international conference on smart grid communications, smartgridcomm 2014",NA,0,NA,NA,"0.281","7",NA,NA,NA
"14869","journal of practice teaching and learning",NA,0,NA,NA,"0.281","3",NA,NA,NA
"14870","notulae botanicae horti agrobotanici clujnapoca",NA,0,NA,NA,"0.281","19","0.48","0.00122",NA
"14871","israel journal of ecology and evolution",NA,0,NA,NA,"0.281","26","0.696","0.00027",NA
"14872","2014 ieee international workshop on information forensics and security, wifs 2014",NA,0,NA,NA,"0.281","6",NA,NA,NA
"14873","glq",NA,0,NA,NA,"0.281","29",NA,NA,NA
"14874","harvard environmental law review",NA,0,NA,NA,"0.281","25","1","0.00058",NA
"14875","kafkas universitesi veteriner fakultesi dergisi",NA,0,NA,NA,"0.281","13","0.432","0.00101",NA
"14876","proceedings of the international symposium on multiplevalued logic",NA,0,NA,NA,"0.281","22",NA,NA,NA
"14877","bioagro",NA,0,NA,NA,"0.281","5",NA,NA,NA
"14878","molluscan research",NA,0,NA,NA,"0.281","20","0.491","0.00025",NA
"14879","health policy and technology",NA,0,NA,NA,"0.281","10","1.167","0.00044",NA
"14880","2013 picture coding symposium, pcs 2013  proceedings",NA,0,NA,NA,"0.281","8",NA,NA,NA
"14881","nature and culture",NA,0,NA,NA,"0.28","8",NA,NA,NA
"14882","heart surgery forum",NA,0,NA,NA,"0.28","33","0.355","0.00077",NA
"14883","international journal of electrical and computer engineering",NA,0,NA,NA,"0.28","8",NA,NA,NA
"14884","theory of stochastic processes",NA,0,NA,NA,"0.28","3",NA,NA,NA
"14885","eurasip journal on audio, speech, and music processing",NA,0,NA,NA,"0.28","13",NA,NA,NA
"14886","proceedings  2014 international conference on future internet of things and cloud, ficloud 2014",NA,0,NA,NA,"0.28","7",NA,NA,NA
"14887","veterinarni medicina",NA,0,NA,NA,"0.28","38","0.489","0.0013",NA
"14888","canadian journal of plastic surgery",NA,0,NA,NA,"0.28","13",NA,NA,NA
"14889","canadian journal of hospital pharmacy",NA,0,NA,NA,"0.28","13",NA,NA,NA
"14890","springer series in surface sciences",NA,0,NA,NA,"0.28","4",NA,NA,NA
"14891","journal of xray science and technology",NA,0,NA,NA,"0.28","27","0.699","0.00078",NA
"14892","journal of marine environmental engineering",NA,0,NA,NA,"0.28","12",NA,NA,NA
"14893","psychoanalytic social work",NA,0,NA,NA,"0.28","5",NA,NA,NA
"14894","ieee design and test",NA,0,NA,NA,"0.28","67","1.366","0.00123",NA
"14895","cuadernos de economia",NA,0,NA,NA,"0.28","3",NA,NA,"1"
"14896","cuadernos de economia",NA,0,NA,NA,"0.28","3",NA,NA,"1"
"14897","surface topography: metrology and properties",NA,0,NA,NA,"0.28","6",NA,NA,NA
"14898","annals of pediatric cardiology",NA,0,NA,NA,"0.28","13",NA,NA,NA
"14899","photochemistry",NA,0,NA,NA,"0.28","6",NA,NA,NA
"14900","international journal of sociology and social policy",NA,0,NA,NA,"0.28","11",NA,NA,"1"
"14901","emj  engineering management journal",NA,0,NA,NA,"0.28","27",NA,NA,NA
"14902","structural survey",NA,0,NA,NA,"0.28","16",NA,NA,NA
"14903","new solutions : a journal of environmental and occupational health policy : ns",NA,0,NA,NA,"0.28","13",NA,NA,NA
"14904","revue europeene de psychologie appliquee",NA,0,NA,NA,"0.28","18",NA,NA,NA
"14905","virtual reality",NA,0,NA,NA,"0.28","33","0.628","0.00031",NA
"14906","indian journal of fibre and textile research",NA,0,NA,NA,"0.28","28","0.43","0.00071",NA
"14907","revista espanola de pedagogia",NA,0,NA,NA,"0.28","9","0.429","0.00013",NA
"14908","postcolonial studies",NA,0,NA,NA,"0.28","8",NA,NA,NA
"14909","social analysis",NA,0,NA,NA,"0.279","16",NA,NA,NA
"14910","proceedings  2014 ieee 15th international symposium on highassurance systems engineering, hase 2014",NA,0,NA,NA,"0.279","6",NA,NA,NA
"14911","tropical journal of pharmaceutical research",NA,0,NA,NA,"0.279","24","0.569","0.00193",NA
"14912","malaysian journal of pathology",NA,0,NA,NA,"0.279","14","0.64","0.00034",NA
"14913","international journal of training research",NA,0,NA,NA,"0.279","4",NA,NA,NA
"14914","mitteilungen aus dem museum für naturkunde in berlin  deutsche entomologische zeitschrift",NA,0,NA,NA,"0.279","13",NA,NA,NA
"14915","hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the asiapacific federation of societies for surgery of the hand",NA,0,NA,NA,"0.279","22",NA,NA,NA
"14916","journal of medical biochemistry",NA,0,NA,NA,"0.279","11","1.148","0.00029",NA
"14917","thalassas",NA,0,NA,NA,"0.279","7","0.5","0.00014",NA
"14918","journal of hazardous, toxic, and radioactive waste",NA,0,NA,NA,"0.279","22",NA,NA,NA
"14919","iranian journal of fisheries sciences",NA,0,NA,NA,"0.279","12","0.285","0.00071",NA
"14920","powder diffraction",NA,0,NA,NA,"0.279","31","0.674","0.00133",NA
"14921","maydica",NA,0,NA,NA,"0.279","29","0.375","0.00048",NA
"14922","2013 17th international conference on optical networking design and modeling, ondm 2013",NA,0,NA,NA,"0.279","7",NA,NA,NA
"14923","proceedings of ieee workshop on advanced robotics and its social impacts, arso",NA,0,NA,NA,"0.279","10",NA,NA,NA
"14924","iral  international review of applied linguistics in language teaching",NA,0,NA,NA,"0.279","22",NA,NA,NA
"14925","australian journal of politics and history",NA,0,NA,NA,"0.279","17","0.179","0.00046",NA
"14926","italian journal of food science",NA,0,NA,NA,"0.279","28","0.556","0.00049",NA
"14927","international journal of electronics",NA,0,NA,NA,"0.279","44","0.729","0.00109",NA
"14928","computing in civil engineering  proceedings of the 2013 asce international workshop on computing in civil engineering",NA,0,NA,NA,"0.279","7",NA,NA,NA
"14929","international surgery",NA,0,NA,NA,"0.279","33","0.56","0.00155",NA
"14930","ciencia e investigacion agraria",NA,0,NA,NA,"0.279","12","0.398","0.00036",NA
"14931","proceedings of the 4th annual symposium on cloud computing, socc 2013",NA,0,NA,NA,"0.279","6",NA,NA,NA
"14932","new zealand journal of crop and horticultural science",NA,0,NA,NA,"0.279","27","0.411","0.00022",NA
"14933","pediatric emergency medicine practice",NA,0,NA,NA,"0.279","3",NA,NA,NA
"14934","journal of radio and audio media",NA,0,NA,NA,"0.279","5",NA,NA,NA
"14935","foundations and trends in microeconomics",NA,0,NA,NA,"0.279","12",NA,NA,"1"
"14936","journal of clinical orthodontics : jco",NA,0,NA,NA,"0.279","33",NA,NA,NA
"14937","xiyou jinshu",NA,0,NA,NA,"0.279","12",NA,NA,NA
"14938","veterinarski arhiv",NA,0,NA,NA,"0.278","21","0.302","0.00045",NA
"14939","journal of elementology",NA,0,NA,NA,"0.278","15","0.641","0.00055",NA
"14940","annals of leisure research",NA,0,NA,NA,"0.278","12",NA,NA,NA
"14941","journal of elastomers and plastics",NA,0,NA,NA,"0.278","21","0.787","0.00042",NA
"14942","journal of essential oilbearing plants",NA,0,NA,NA,"0.278","14",NA,NA,NA
"14943","bulletin of glaciological research",NA,0,NA,NA,"0.278","6",NA,NA,NA
"14944","ieee icdlepirob 2014  4th joint ieee international conference on development and learning and on epigenetic robotics",NA,0,NA,NA,"0.278","4",NA,NA,NA
"14945","nano life",NA,0,NA,NA,"0.278","2",NA,NA,NA
"14946","proceedings  2013 3rd international workshop on pattern recognition in neuroimaging, prni 2013",NA,0,NA,NA,"0.278","5",NA,NA,NA
"14947","proceedings of the international workshop on network and operating system support for digital audio and video",NA,0,NA,NA,"0.278","34",NA,NA,NA
"14948","proceedings  2013 ieee international conference on big data, big data 2013",NA,0,NA,NA,"0.278","11",NA,NA,NA
"14949","international journal of materials research",NA,0,NA,NA,"0.278","50","0.681","0.00238",NA
"14950","journal of the early republic",NA,0,NA,NA,"0.278","13",NA,NA,NA
"14951","physiotherapy practice and research",NA,0,NA,NA,"0.278","3",NA,NA,NA
"14952","records of the australian museum",NA,0,NA,NA,"0.278","17","0.636","0.00018",NA
"14953","finance a uver",NA,0,NA,NA,"0.278","13",NA,NA,"1"
"14954","obere extremitat",NA,0,NA,NA,"0.278","6",NA,NA,NA
"14955","china journal of accounting research",NA,0,NA,NA,"0.278","6",NA,NA,"1"
"14956","proceedings of the 24th acm workshop on network and operating systems support for digital audio and video, nossdav 2014",NA,0,NA,NA,"0.278","6",NA,NA,NA
"14957","theoretical foundations of chemical engineering",NA,0,NA,NA,"0.278","16","0.494","0.00066",NA
"14958","orbis",NA,0,NA,NA,"0.278","20",NA,NA,NA
"14959","journal of social work practice in the addictions",NA,0,NA,NA,"0.278","14",NA,NA,NA
"14960","journal of applied biobehavioral research",NA,0,NA,NA,"0.278","21",NA,NA,NA
"14961","international journal of health care quality assurance",NA,0,NA,NA,"0.278","35",NA,NA,NA
"14962","plasma and fusion research",NA,0,NA,NA,"0.278","9",NA,NA,NA
"14963","mathematical problems in engineering",NA,0,NA,NA,"0.277","39","0.802","0.02037",NA
"14964","international journal of geomate",NA,0,NA,NA,"0.277","7",NA,NA,NA
"14965","proceedings  2015 ieee international conference on autonomous robot systems and competitions, icarsc 2015",NA,0,NA,NA,"0.277","4",NA,NA,NA
"14966","asian journal of pharmaceutical and clinical research",NA,0,NA,NA,"0.277","21",NA,NA,NA
"14967","studies in informatics and control",NA,0,NA,NA,"0.277","13","0.776","3e-04",NA
"14968","psicologia: reflexao e critica",NA,0,NA,NA,"0.277","14",NA,NA,NA
"14969","international journal of flow control",NA,0,NA,NA,"0.277","10",NA,NA,NA
"14970","2014 ieee international conference on pervasive computing and communication workshops, percom workshops 2014",NA,0,NA,NA,"0.277","9",NA,NA,NA
"14971","ashrae journal",NA,0,NA,NA,"0.277","30","0.183","0.00034",NA
"14972","seminars in roentgenology",NA,0,NA,NA,"0.277","23","0.667","5e-04",NA
"14973","advances in mechanical engineering",NA,0,NA,NA,"0.277","20","0.827","0.00462",NA
"14974","advances in production engineering and management",NA,0,NA,NA,"0.277","3","1.424","0.00026",NA
"14975","jiqiren/robot",NA,0,NA,NA,"0.277","19",NA,NA,NA
"14976","journal of the australian ceramic society",NA,0,NA,NA,"0.277","13","0.744","0.00048",NA
"14977","hong kong medical journal",NA,0,NA,NA,"0.277","38","1.111","0.00155",NA
"14978","education for health",NA,0,NA,NA,"0.277","25",NA,NA,NA
"14979","2014 loughborough antennas and propagation conference, lapc 2014",NA,0,NA,NA,"0.277","5",NA,NA,NA
"14980","open biochemistry journal",NA,0,NA,NA,"0.277","9",NA,NA,NA
"14981","revue de medecine interne",NA,0,NA,NA,"0.277","32","1.126","0.00132",NA
"14982","international journal of applied cryptography",NA,0,NA,NA,"0.277","11",NA,NA,NA
"14983","herz",NA,0,NA,NA,"0.277","46","0.776","0.00163",NA
"14984","proceedings of the 2012 ase international conference on cyber security, cybersecurity 2012",NA,0,NA,NA,"0.277","5",NA,NA,NA
"14985","2013 international conference on localization and gnss, iclgnss 2013",NA,0,NA,NA,"0.277","7",NA,NA,NA
"14986","advances in operations research",NA,0,NA,NA,"0.277","8",NA,NA,NA
"14987","darwiniana",NA,0,NA,NA,"0.277","17",NA,NA,NA
"14988","poe studies  dark romanticism",NA,0,NA,NA,"0.277","2",NA,NA,NA
"14989","nanoscience and nanotechnology letters",NA,0,NA,NA,"0.277","20","1.889","0.00201",NA
"14990","malaysian journal of medical sciences",NA,0,NA,NA,"0.277","14",NA,NA,NA
"14991","critical arts",NA,0,NA,NA,"0.277","8",NA,NA,NA
"14992","minerva cardioangiologica",NA,0,NA,NA,"0.277","22","0.695","0.00046",NA
"14993","herpetology notes",NA,0,NA,NA,"0.277","10",NA,NA,NA
"14994","ufa mathematical journal",NA,0,NA,NA,"0.277","3",NA,NA,NA
"14995","journal of medical and biological engineering",NA,0,NA,NA,"0.277","21","0.989","0.00104",NA
"14996","chemistry of heterocyclic compounds",NA,0,NA,NA,"0.277","27","0.865","0.00177",NA
"14997","chemistry of natural compounds",NA,0,NA,NA,"0.277","30","0.46","0.00201",NA
"14998","einstein (são paulo, brazil)",NA,0,NA,NA,"0.276","10",NA,NA,NA
"14999","zygon",NA,0,NA,NA,"0.276","17","0.617","0.00022",NA
"15000","multidiscipline modeling in materials and structures",NA,0,NA,NA,"0.276","12",NA,NA,NA
"15001","indian journal of pure and applied physics",NA,0,NA,NA,"0.276","32","0.521","0.00122",NA
"15002","international journal of play therapy",NA,0,NA,NA,"0.276","23",NA,NA,NA
